name,height,weight,avg,HR,hand,bmi
Roger Weaver,75,190,0,0,Right Handed,23.7
Stan Papi,72,170,0.218,7,Right Handed,23.1
Rob Wilfong,73,180,0.248,39,Left Handed,23.7
Chris Knapp,77,195,0,0,Right Handed,23.1
Steve Henderson,74,190,0.28,68,Right Handed,24.4
Rob Picciolo,74,185,0.234,17,Right Handed,23.8
Don Welchel,76,205,0,0,Right Handed,25
Randy Wiles,73,185,0,0,Left Handed,24.4
Roberto Pena,68,170,0.245,13,Right Handed,25.8
Bob Dernier,72,160,0.255,23,Right Handed,21.7
Bill Melton,74,200,0.253,160,Right Handed,25.7
Albert Hall,71,155,0.251,5,Switch Hitter,21.6
Barbaro Garbey,70,170,0.267,11,Right Handed,24.4
John Milner,72,185,0.249,131,Left Handed,25.1
Rich Reese,75,185,0.253,52,Left Handed,23.1
Chris Bando,72,195,0.227,27,Switch Hitter,26.4
Bill Buckner,72,185,0.289,174,Left Handed,25.1
Jack Hiatt,74,190,0.251,22,Right Handed,24.4
Nelson Mathews,76,195,0.223,22,Right Handed,23.7
Larry Lintz,69,150,0.227,0,Switch Hitter,22.1
Ron Theobald,68,165,0.248,2,Right Handed,25.1
Dewey Robinson,72,180,0,0,Right Handed,24.4
Rafael Santana,73,165,0.246,13,Right Handed,21.8
Jerry Hairston,70,170,0.258,30,Switch Hitter,24.4
Tony Arnold,71,170,0,0,Right Handed,23.7
Jeff Schattinger,77,200,0,0,Left Handed,23.7
Ike Brookens,77,170,0,0,Right Handed,20.2
Tommie Aaron,75,190,0.229,13,Right Handed,23.7
Steve Dillard,73,180,0.243,13,Right Handed,23.7
Win Remmerswaal,74,160,0,0,Right Handed,20.5
Jeff Peterek,74,195,0,0,Right Handed,25
George Scott,74,200,0.268,271,Right Handed,25.7
Jeff Shaver,75,195,0,0,Right Handed,24.4
Ken Walters,73,180,0.231,11,Right Handed,23.7
Gorman Thomas,74,210,0.225,268,Right Handed,27
Paul Dade,73,185,0.27,10,Right Handed,24.4
Darrell Porter,72,193,0.247,188,Left Handed,26.2
Tim Johnson,73,170,0.223,0,Left Handed,22.4
Fred Stanley,70,165,0.216,10,Right Handed,23.7
Larry Bowa,70,155,0.26,15,Switch Hitter,22.2
Tim Corcoran,71,175,0.27,12,Left Handed,24.4
Jim Spencer,74,195,0.25,146,Left Handed,25
Pete LaCock,74,200,0.257,27,Left Handed,25.7
Carl Morton,72,200,0.156,7,Right Handed,27.1
Gary Gray,72,187,0.24,24,Right Handed,25.4
Matty Alou,69,160,0.307,31,Left Handed,23.6
Pete Filson,74,195,0,0,Switch Hitter,25
Jim Dwyer,70,165,0.26,77,Left Handed,23.7
Dalton Jones,73,180,0.235,41,Left Handed,23.7
Rennie Stennett,71,160,0.274,41,Right Handed,22.3
Jim Gideon,75,190,0,0,Right Handed,23.7
Jerry May,74,190,0.234,15,Right Handed,24.4
Rich McKinney,71,185,0.225,20,Right Handed,25.8
Clint Hurdle,75,195,0.259,32,Left Handed,24.4
Mike Andrews,75,195,0.258,66,Right Handed,24.4
Bobby Clark,72,190,0.239,19,Right Handed,25.8
Jeff Twitty,74,185,0,0,Left Handed,23.8
Cliff Johnson,76,215,0.258,196,Right Handed,26.2
Steve Cummings,74,200,0,0,Switch Hitter,25.7
Donn Clendenon,76,209,0.274,159,Right Handed,25.4
Charlie James,73,195,0.255,29,Right Handed,25.7
Bob Horner,73,195,0.277,218,Right Handed,25.7
Tom Veryzer,73,175,0.241,14,Right Handed,23.1
Jose Cecena,71,180,0,0,Right Handed,25.1
George Smith,70,170,0.205,9,Right Handed,24.4
Jim Essian,74,195,0.244,33,Right Handed,25
Onix Concepcion,66,160,0.239,3,Right Handed,25.8
Boots Day,69,160,0.256,8,Left Handed,23.6
Brian Giles,73,165,0.228,10,Right Handed,21.8
Garry Maddox,75,175,0.285,117,Right Handed,21.9
Alex Trevino,70,165,0.249,23,Right Handed,23.7
Jim Price,72,192,0.214,18,Right Handed,26
Felix Millan,71,172,0.279,22,Right Handed,24
Steve Garvey,70,192,0.294,272,Right Handed,27.5
Don Mincher,75,205,0.249,200,Left Handed,25.6
Greg Erardi,73,190,0,0,Right Handed,25.1
Jim Farr,73,195,0,0,Right Handed,25.7
Tony Cloninger,72,210,0.192,11,Right Handed,28.5
Jim Gosger,71,185,0.226,30,Left Handed,25.8
Chuck Harrison,70,185,0.238,17,Right Handed,26.5
Mike Ivie,75,205,0.269,81,Right Handed,25.6
Frank Dimichele,75,205,0,0,Right Handed,25.6
Bob Veale,78,212,0.114,0,Switch Hitter,24.5
Marvell Wynne,71,175,0.247,40,Left Handed,24.4
Dusty Baker,74,183,0.278,242,Right Handed,23.5
Tucker Ashford,73,195,0.218,6,Right Handed,25.7
Ned Yost,73,190,0.212,16,Right Handed,25.1
Bob Stinson,71,180,0.25,33,Switch Hitter,25.1
Mike Warren,73,175,0,0,Right Handed,23.1
Gaylord Perry,76,205,0.131,6,Right Handed,25
Dave Marshall,73,182,0.246,16,Left Handed,24
Mickey Hatcher,74,200,0.28,38,Right Handed,25.7
Roger Repoz,75,190,0.224,82,Left Handed,23.7
Bill Fulton,75,195,0,0,Right Handed,24.4
John Orsino,75,215,0.249,40,Right Handed,26.9
Larry Anderson,75,190,0,0,Right Handed,23.7
Johnny Briggs,73,190,0.253,139,Left Handed,25.1
Craig Mitchell,75,180,0,0,Right Handed,22.5
Dave Hostetler,76,215,0.229,37,Right Handed,26.2
Bob Jones,74,195,0.221,20,Left Handed,25
Keith Hernandez,72,180,0.296,162,Left Handed,24.4
Alfredo Martinez,75,185,0,0,Right Handed,23.1
Dean Chance,75,200,0.066,0,Right Handed,25
Willie Upshaw,72,185,0.262,123,Left Handed,25.1
Dick Green,70,180,0.24,80,Right Handed,25.8
Dane Iorg,72,180,0.276,14,Left Handed,24.4
Richie Hebner,73,195,0.276,203,Left Handed,25.7
Fran Healy,77,220,0.25,20,Right Handed,26.1
Doc Edwards,74,215,0.238,15,Right Handed,27.6
Sandy Alomar,69,140,0.245,13,Switch Hitter,20.7
Joe Strain,70,169,0.25,1,Right Handed,24.2
Gene Richards,72,175,0.29,26,Left Handed,23.7
Buddy Bell,73,180,0.279,201,Right Handed,23.7
Al Woods,75,190,0.271,35,Left Handed,23.7
Rudy Law,73,165,0.271,18,Left Handed,21.8
Joel Davis,77,205,0,0,Left Handed,24.3
Jody Davis,76,192,0.245,127,Right Handed,23.4
Mike Edwards,70,154,0.25,2,Right Handed,22.1
Bill Mooneyham,72,175,0,0,Right Handed,23.7
John Hobbs,75,190,0,0,Right Handed,23.7
Deron Johnson,74,200,0.244,245,Right Handed,25.7
John Denny,75,185,0.17,0,Right Handed,23.1
Don Wert,70,162,0.242,77,Right Handed,23.2
Mike Fiore,72,175,0.227,13,Left Handed,23.7
Miguel Dilone,72,160,0.265,6,Switch Hitter,21.7
Greg Luzinski,73,220,0.276,307,Right Handed,29
Bobby Tolan,71,170,0.265,86,Left Handed,23.7
Karl Best,76,190,0,0,Right Handed,23.1
Steve Barr,76,200,0,0,Left Handed,24.3
Ron Woods,70,168,0.233,26,Right Handed,24.1
Tony Horton,75,210,0.268,76,Right Handed,26.2
Randy Hundley,71,170,0.236,82,Right Handed,23.7
Jose Tartabull,71,165,0.261,2,Left Handed,23
Ben Oglivie,74,160,0.273,235,Left Handed,20.5
Luis Sanchez,74,170,0,0,Right Handed,21.8
Bob Johnson,70,175,0.272,44,Right Handed,25.1
Don Buford,67,160,0.264,93,Switch Hitter,25.1
Duane Kuiper,72,175,0.271,1,Left Handed,23.7
Brant Alyea,75,215,0.247,38,Right Handed,26.9
Jerry Narron,75,205,0.211,21,Left Handed,25.6
Lou Johnson,71,170,0.258,48,Right Handed,23.7
Ken Retzer,72,185,0.264,14,Left Handed,25.1
Mike Brown,74,195,0.265,23,Right Handed,25
Mike Brown,74,195,0,0,Right Handed,25
Greg Walker,75,205,0.26,113,Left Handed,25.6
Terry Harper,76,195,0.253,36,Right Handed,23.7
Jerry Royster,72,165,0.249,40,Right Handed,22.4
Steve Davis,73,195,0,0,Left Handed,25.7
Jeff Rineer,76,205,0,0,Left Handed,25
Barry Bonnell,75,190,0.272,56,Right Handed,23.7
Tom Seaver,73,195,0.154,12,Right Handed,25.7
Jerry Martin,73,195,0.251,85,Right Handed,25.7
Bill Stein,70,170,0.267,44,Right Handed,24.4
Joel Youngblood,72,180,0.265,80,Right Handed,24.4
Reggie Jackson,72,195,0.262,563,Left Handed,26.4
Sonny Jackson,69,150,0.251,7,Left Handed,22.1
Mark Mercer,77,220,0,0,Left Handed,26.1
Rodney Scott,72,160,0.236,3,Switch Hitter,21.7
Rich Coggins,68,170,0.265,12,Left Handed,25.8
Phil Gagliano,73,180,0.238,14,Right Handed,23.7
Jerry McNertney,72,180,0.237,27,Right Handed,24.4
Mitchell Page,74,205,0.266,72,Left Handed,26.3
Kiko Garcia,71,180,0.239,12,Right Handed,25.1
Larry Milbourne,72,161,0.254,11,Switch Hitter,21.8
Bill Sudakis,73,190,0.234,59,Switch Hitter,25.1
John Caneira,75,180,0,0,Right Handed,22.5
Domingo Ramos,70,154,0.24,8,Right Handed,22.1
Ron Oester,74,185,0.265,42,Switch Hitter,23.8
Glenn Adams,73,180,0.28,34,Left Handed,23.7
Clint Zavaras,73,175,0,0,Right Handed,23.1
Joe Morgan,67,160,0.271,268,Left Handed,25.1
R.J. Reynolds,72,190,0.267,35,Switch Hitter,25.8
Mike Parrott,76,210,0,0,Right Handed,25.6
Lee Thomas,74,195,0.255,106,Left Handed,25
Ray Fosse,74,215,0.256,61,Right Handed,27.6
Paul Popovich,72,175,0.233,14,Switch Hitter,23.7
John Stephenson,71,180,0.216,12,Left Handed,25.1
Doug Clemens,72,180,0.229,12,Left Handed,24.4
Luis Aponte,72,185,0,0,Right Handed,25.1
Orlando Mercado,72,180,0.199,7,Right Handed,24.4
Charley Smith,73,170,0.239,69,Right Handed,22.4
Paul Boris,74,200,0,0,Right Handed,25.7
Buddy Biancalana,71,160,0.205,6,Switch Hitter,22.3
De Wayne Buice,72,170,0,0,Right Handed,23.1
Bob Uecker,73,190,0.2,14,Right Handed,25.1
Felix Torres,71,165,0.254,27,Right Handed,23
Steve Braun,70,180,0.271,52,Left Handed,25.8
Ray Knight,73,185,0.271,84,Right Handed,24.4
Ty Cline,72,170,0.238,6,Left Handed,23.1
Thad Bosley,75,175,0.272,20,Left Handed,21.9
Bobby Grich,74,180,0.266,224,Right Handed,23.1
Jimmie Hall,72,175,0.254,121,Left Handed,23.7
John Boccabella,73,195,0.219,26,Right Handed,25.7
Brock Davis,70,160,0.26,1,Left Handed,23
Mark Esser,73,190,0,0,Right Handed,25.1
Curt Blefary,74,195,0.237,112,Left Handed,25
Daryl Smith,76,185,0,0,Right Handed,22.5
Dave Smith,73,190,0,0,Right Handed,25.1
Mack Jones,73,180,0.252,133,Left Handed,23.7
Buddy Bradford,71,170,0.226,52,Right Handed,23.7
Hosken Powell,73,175,0.259,17,Left Handed,23.1
Dave Stapleton,73,185,0,0,Left Handed,24.4
Dave Stapleton,73,178,0.271,41,Right Handed,23.5
Gary Ward,74,195,0.276,130,Right Handed,25
Jim Lonborg,77,200,0.136,3,Right Handed,23.7
Joe Lis,72,175,0.233,32,Right Handed,23.7
Dan Meyer,71,180,0.253,86,Left Handed,25.1
Jim Holt,72,180,0.265,19,Left Handed,24.4
Tom Klawitter,74,190,0,0,Right Handed,24.4
Larry Herndon,75,190,0.274,107,Right Handed,23.7
Gary Christenson,77,200,0,0,Left Handed,23.7
Jim Wright,77,205,0,0,Right Handed,24.3
Jim Wright,73,165,0,0,Right Handed,21.8
Wallace Johnson,72,173,0.255,5,Switch Hitter,23.5
Mike Kinnunen,73,185,0,0,Left Handed,24.4
Eddie Leon,72,170,0.236,24,Right Handed,23.1
Dave Rajsich,77,175,0,0,Left Handed,20.7
Jim Wohlford,71,175,0.26,21,Right Handed,24.4
J.R. Richard,80,222,0.168,10,Right Handed,24.4
Bill Voss,74,160,0.227,19,Left Handed,20.5
Keith Moreland,72,190,0.279,121,Right Handed,25.8
Ramon Pena,70,155,0,0,Right Handed,22.2
Alex Johnson,72,205,0.288,78,Right Handed,27.8
Wayne Krenchicki,73,180,0.266,15,Left Handed,23.7
Chico Escarrega,71,185,0,0,Right Handed,25.8
Dave Rosello,71,160,0.236,10,Right Handed,22.3
Cardell Camper,75,208,0,0,Right Handed,26
Paul Schaal,71,165,0.244,57,Right Handed,23
Tito Landrum,71,175,0.249,13,Right Handed,24.4
Dave Edwards,72,170,0.237,14,Right Handed,23.1
Mario Guerrero,70,155,0.257,7,Right Handed,22.2
Tom Tresh,73,180,0.245,153,Switch Hitter,23.7
Mike Overy,74,190,0,0,Right Handed,24.4
Ron Roenicke,72,180,0.238,17,Switch Hitter,24.4
Doug Griffin,72,160,0.245,7,Right Handed,21.7
Steve Blass,72,165,0.172,1,Right Handed,22.4
Johnnie LeMaster,74,165,0.222,22,Right Handed,21.2
Craig Chamberlain,73,190,0,0,Right Handed,25.1
Nate Oliver,70,160,0.226,2,Right Handed,23
Ray Sadecki,71,180,0.191,5,Left Handed,25.1
Ken Rudolph,73,180,0.213,6,Right Handed,23.7
Wayne Nordhagen,74,205,0.282,39,Right Handed,26.3
Biff Pocoroba,70,175,0.257,21,Switch Hitter,25.1
Len Matuszek,74,190,0.234,30,Left Handed,24.4
Frank Eufemia,71,185,0,0,Right Handed,25.8
Joe Lefebvre,70,170,0.258,31,Left Handed,24.4
Jim Maloney,74,190,0.201,7,Left Handed,24.4
Andre Robertson,70,155,0.251,5,Right Handed,22.2
Jerry Zimmerman,74,185,0.204,3,Right Handed,23.8
Jack Lazorko,71,200,0,0,Right Handed,27.9
Mike Paxton,71,190,0,0,Right Handed,26.5
Chet Lemon,72,190,0.273,215,Right Handed,25.8
Rickey Keeton,74,190,0,0,Right Handed,24.4
Phil Mankowski,72,180,0.264,8,Left Handed,24.4
Cleon Jones,72,185,0.281,93,Right Handed,25.1
Joaquin Andujar,72,170,0.127,5,Switch Hitter,23.1
Mike Lum,72,180,0.247,90,Left Handed,24.4
Johnny Grubb,75,175,0.278,99,Left Handed,21.9
Curt Motton,68,164,0.213,25,Right Handed,24.9
Johnny Bench,73,197,0.267,389,Right Handed,26
Dale Berra,72,180,0.236,49,Right Handed,24.4
Terry Felton,73,180,0,0,Right Handed,23.7
Bob Meacham,73,175,0.236,8,Switch Hitter,23.1
Mark Clear,76,200,0,0,Right Handed,24.3
Carl Warwick,70,170,0.248,31,Right Handed,24.4
Sam Bowens,73,188,0.223,45,Right Handed,24.8
George Wright,71,180,0.245,42,Switch Hitter,25.1
Luis Aguayo,69,173,0.236,37,Right Handed,25.5
Hal Lanier,74,180,0.228,8,Right Handed,23.1
Mike Pazik,74,195,0,0,Left Handed,25
Len Randle,70,169,0.257,27,Switch Hitter,24.2
Greg Pryor,72,180,0.25,14,Right Handed,24.4
Jim Traber,72,194,0.227,27,Left Handed,26.3
Dave Nelson,70,160,0.244,20,Right Handed,23
Lynn Jones,69,175,0.252,7,Right Handed,25.8
Bryan Little,70,160,0.245,3,Switch Hitter,23
Ken Suarez,69,175,0.227,5,Right Handed,25.8
Rick Peters,69,170,0.277,2,Switch Hitter,25.1
Ron Stone,74,185,0.241,6,Left Handed,23.8
Rich Barnes,76,186,0,0,Right Handed,22.6
Tommie Agee,71,195,0.255,130,Right Handed,27.2
Bob Bailey,73,180,0.257,189,Right Handed,23.7
Cap Peterson,74,195,0.23,19,Right Handed,25
Ted Uhlaender,74,190,0.263,36,Left Handed,24.4
Ted Simmons,71,193,0.285,248,Switch Hitter,26.9
Bobby Murcer,71,160,0.277,252,Left Handed,22.3
Dick Tracewski,71,160,0.213,8,Right Handed,22.3
Dave Frost,78,235,0,0,Right Handed,27.2
Mark Souza,72,180,0,0,Left Handed,24.4
Bill Nahorodny,74,200,0.241,25,Right Handed,25.7
Bill Madlock,71,180,0.305,163,Right Handed,25.1
Bob Boone,74,195,0.254,105,Right Handed,25
Rick Jones,77,190,0,0,Left Handed,22.5
Steve Kemp,72,195,0.278,130,Left Handed,26.4
Rick Burleson,70,165,0.273,50,Right Handed,23.7
Jim Dorsey,79,190,0,0,Right Handed,21.4
Mark Ciardi,72,180,0,0,Right Handed,24.4
Dennis Burtt,72,180,0,0,Right Handed,24.4
Carl Taylor,74,200,0.266,10,Right Handed,25.7
Terry Harmon,74,180,0.233,4,Right Handed,23.1
Mike Hargrove,72,195,0.29,80,Left Handed,26.4
Rich Yett,74,187,0,0,Right Handed,24
Steve Hovley,70,188,0.258,8,Left Handed,27
Don Leppert,74,220,0.229,15,Right Handed,28.2
Matt Williams,73,200,0,0,Right Handed,26.4
Jim Burton,75,195,0,0,Right Handed,24.4
Rick Anderson,74,210,0,0,Right Handed,27
Charlie Mitchell,75,170,0,0,Right Handed,21.2
Bill Paschall,72,175,0,0,Right Handed,23.7
John Bohnet,72,175,0,0,Switch Hitter,23.7
Byron McLaughlin,73,175,0,0,Right Handed,23.1
Lee May,75,195,0.267,354,Right Handed,24.4
Luis Quintana,74,175,0,0,Left Handed,22.5
Sam McDowell,77,190,0.154,2,Left Handed,22.5
Rick Renick,72,188,0.221,20,Right Handed,25.5
Jeff Torborg,72,195,0.214,8,Right Handed,26.4
Dave Campbell,73,180,0.213,20,Right Handed,23.7
Pat Kelly,73,185,0.264,76,Left Handed,24.4
Al Weis,72,160,0.219,7,Switch Hitter,21.7
Jerry Turner,69,180,0.257,45,Left Handed,26.6
Rick Auerbach,72,165,0.22,9,Right Handed,22.4
Keith Macwhorter,76,190,0,0,Right Handed,23.1
Don Wilson,74,195,0.146,1,Right Handed,25
Jaime Cocanower,76,200,0,0,Right Handed,24.3
Jeff Sellers,73,175,0,0,Right Handed,23.1
Sandy Valdespino,68,170,0.23,7,Left Handed,25.8
Steve Senteney,74,205,0,0,Right Handed,26.3
Howard Bailey,72,195,0,0,Right Handed,26.4
Jeff Bettendorf,75,180,0,0,Right Handed,22.5
Ken Phelps,73,209,0.239,123,Left Handed,27.6
Cesar Cedeno,74,175,0.285,199,Right Handed,22.5
Bob Davidson,72,185,0,0,Right Handed,25.1
Phil Linz,73,180,0.235,11,Right Handed,23.7
Manny Mota,70,160,0.304,31,Right Handed,23
Brian Snyder,75,185,0,0,Left Handed,23.1
Steve Renko,77,230,0.215,6,Right Handed,27.3
Rick Sofield,73,195,0.243,9,Left Handed,25.7
Carlos Velazquez,71,180,0,0,Right Handed,25.1
Roger Miller,75,200,0,0,Right Handed,25
Doug DeCinces,74,190,0.259,237,Right Handed,24.4
John Castino,71,175,0.278,41,Right Handed,24.4
Dave May,70,186,0.251,96,Left Handed,26.7
Ron Washington,71,155,0.261,20,Right Handed,21.6
Billy Grabarkewitz,70,165,0.236,28,Right Handed,23.7
Willie Aikens,75,220,0.271,110,Left Handed,27.5
Earl Williams,75,215,0.247,138,Right Handed,26.9
Willie Mueller,76,220,0,0,Right Handed,26.8
John Flinn,72,175,0,0,Right Handed,23.7
Don Hahn,73,180,0.236,7,Right Handed,23.7
Todd Cruz,72,175,0.22,34,Right Handed,23.7
Tom Egan,76,218,0.2,22,Right Handed,26.5
Bob Heise,72,175,0.247,1,Right Handed,23.7
Tommy Harper,69,165,0.257,146,Right Handed,24.4
Joe Wallis,71,180,0.244,16,Switch Hitter,25.1
Max Alvis,71,185,0.247,111,Right Handed,25.8
Rico Carty,75,200,0.299,204,Right Handed,25
Mike Cubbage,72,180,0.258,34,Left Handed,24.4
Les Straker,73,193,0,0,Right Handed,25.5
Merritt Ranew,71,170,0.247,8,Left Handed,23.7
Lyman Bostock,73,180,0.311,23,Left Handed,23.7
Damaso Garcia,73,165,0.283,36,Right Handed,21.8
Don Kainer,75,205,0,0,Right Handed,25.6
Don Gordon,73,175,0,0,Right Handed,23.1
Roy Howell,73,190,0.261,80,Left Handed,25.1
Boog Powell,76,230,0.266,339,Left Handed,28
Sandy Wihtol,73,195,0,0,Right Handed,25.7
Sonny Siebert,75,190,0.173,12,Right Handed,23.7
Jeff Richardson,75,185,0,0,Right Handed,23.1
Bobby Darwin,74,190,0.251,83,Right Handed,24.4
Dennis DeBarr,74,190,0,0,Left Handed,24.4
Dan Driessen,71,187,0.267,153,Left Handed,26.1
Bruce Miller,73,185,0.246,1,Right Handed,24.4
Bob Bailor,71,170,0.264,9,Right Handed,23.7
Tommy Helms,70,165,0.269,34,Right Handed,23.7
Tony Armas,71,182,0.252,251,Right Handed,25.4
Willie Horton,71,209,0.273,325,Right Handed,29.1
Lou Piniella,72,182,0.291,102,Right Handed,24.7
Butch Hobson,73,193,0.248,98,Right Handed,25.5
John Wathan,74,205,0.262,21,Right Handed,26.3
Hal King,73,200,0.214,24,Left Handed,26.4
Mike Krukow,77,205,0.193,5,Right Handed,24.3
Andres Mora,72,180,0.223,27,Right Handed,24.4
Barry Foote,75,205,0.23,57,Right Handed,25.6
Ed Ott,70,190,0.259,33,Left Handed,27.3
Alan Wiggins,74,160,0.259,5,Switch Hitter,20.5
Ron Clark,70,175,0.189,5,Right Handed,25.1
Jay Pettibone,76,182,0,0,Right Handed,22.2
Glen Cook,71,180,0,0,Right Handed,25.1
Julio Gotay,72,180,0.26,6,Right Handed,24.4
Gary Alexander,74,195,0.23,55,Right Handed,25
Andre Thornton,75,200,0.254,253,Right Handed,25
Bob Oliver,75,205,0.256,94,Right Handed,25.6
Bill Castro,71,170,0,0,Right Handed,23.7
Ed Hodge,74,192,0,0,Left Handed,24.6
Tom Buskey,75,200,0,0,Right Handed,25
Bruce Taylor,72,178,0,0,Right Handed,24.1
Stan Thomas,74,185,0,0,Right Handed,23.8
Bob Robertson,73,195,0.242,115,Right Handed,25.7
Larry Monroe,76,200,0,0,Right Handed,24.3
Roger Slagle,75,190,0,0,Right Handed,23.7
Ollie Brown,74,178,0.265,102,Right Handed,22.9
Jim Campbell,71,175,0,0,Left Handed,24.4
Frank Quilici,73,170,0.214,5,Right Handed,22.4
Curt Kaufman,74,175,0,0,Right Handed,22.5
Joe Pepitone,74,185,0.258,219,Left Handed,23.8
Steve Barber,72,195,0.115,5,Left Handed,26.4
De Wayne Vaughn,71,180,0,0,Right Handed,25.1
Norm Miller,70,185,0.238,24,Left Handed,26.5
Bob Galasso,73,205,0,0,Left Handed,27
Rich Wortham,72,185,0,0,Right Handed,25.1
Bob Chance,74,196,0.261,24,Left Handed,25.2
Julio Cruz,69,165,0.237,23,Switch Hitter,24.4
Bill Sample,69,175,0.272,46,Right Handed,25.8
Juan Nieves,75,175,0,0,Left Handed,21.9
Mike Bacsik,74,180,0,0,Right Handed,23.1
Craig Kusick,75,210,0.235,46,Right Handed,26.2
Rudy Meoli,69,165,0.212,2,Left Handed,24.4
Ruppert Jones,70,170,0.25,147,Left Handed,24.4
Glenn Hoffman,73,175,0.242,23,Right Handed,23.1
Russ Gibson,73,195,0.228,8,Right Handed,25.7
Phil Huffman,74,180,0,0,Right Handed,23.1
Terry Francona,73,190,0.274,16,Left Handed,25.1
John Bateman,75,210,0.23,81,Right Handed,26.2
Luis Pujols,74,175,0.193,6,Right Handed,22.5
Joe Gaines,73,190,0.241,21,Right Handed,25.1
Doug Rader,74,208,0.251,155,Right Handed,26.7
Mickey Stanley,73,185,0.248,117,Right Handed,24.4
Steve Brown,77,200,0,0,Right Handed,23.7
Rick Lysander,74,190,0,0,Right Handed,24.4
Phil Bradley,72,185,0.286,78,Right Handed,25.1
Winston Llenas,70,165,0.23,3,Right Handed,23.7
Charlie Moore,71,180,0.261,36,Right Handed,25.1
Ralph Garr,71,185,0.306,75,Left Handed,25.8
Tommy John,75,180,0.157,5,Right Handed,22.5
Bruce Benedict,73,175,0.242,18,Right Handed,23.1
John Ellis,74,225,0.262,69,Right Handed,28.9
Wes Parker,73,180,0.267,64,Switch Hitter,23.7
Mel Stottlemyre,72,190,0,0,Right Handed,25.8
David Green,75,170,0.268,31,Right Handed,21.2
Reid Nichols,71,165,0.266,22,Right Handed,23
Rick Reichardt,75,210,0.261,116,Right Handed,26.2
Luis Tiant,72,180,0.164,5,Right Handed,24.4
Alex Sanchez,74,185,0,0,Right Handed,23.8
Broderick Perkins,70,180,0.271,8,Left Handed,25.8
Leon Roberts,75,200,0.267,78,Right Handed,25
Ray Burris,77,200,0.151,1,Right Handed,23.7
Len Gabrielson,76,210,0.253,37,Left Handed,25.6
Johnny Edwards,76,220,0.242,81,Left Handed,26.8
Paul Wilmet,71,170,0,0,Right Handed,23.7
Tom Grieve,74,190,0.249,65,Right Handed,24.4
Bruce Ellingsen,72,180,0,0,Left Handed,24.4
Bob Forsch,76,200,0.213,12,Right Handed,24.3
Gorman Heimueller,76,195,0,0,Left Handed,23.7
Danny Cater,72,170,0.276,66,Right Handed,23.1
Bill Schroeder,74,200,0.24,61,Right Handed,25.7
Clay Dalrymple,72,190,0.233,55,Left Handed,25.8
Carlos May,71,200,0.274,90,Left Handed,27.9
Reggie Smith,72,180,0.287,314,Switch Hitter,24.4
Ron Reed,78,215,0.158,0,Right Handed,24.8
Fred Howard,75,190,0,0,Right Handed,23.7
Davey Johnson,73,170,0.261,136,Right Handed,22.4
Ellis Valentine,76,205,0.278,123,Right Handed,25
Roy White,70,160,0.271,160,Switch Hitter,23
Mike Brumley,70,195,0.229,5,Left Handed,28
Al Luplow,70,175,0.235,33,Left Handed,25.1
John Hoover,74,190,0,0,Right Handed,24.4
Dick Allen,71,187,0.292,351,Right Handed,26.1
Doug Ault,75,200,0.236,17,Right Handed,25
Mark Wagner,72,165,0.243,3,Right Handed,22.4
Mike Walters,77,203,0,0,Right Handed,24.1
Willie Stargell,74,188,0.282,475,Left Handed,24.1
Steve Carlton,76,210,0.201,13,Left Handed,25.6
Jake Wood,73,163,0.25,35,Right Handed,21.5
Del Unser,73,180,0.258,87,Left Handed,23.7
Bob Brower,71,185,0.242,17,Right Handed,25.8
Ray Culp,72,200,0.123,1,Right Handed,27.1
Ivan Murrell,74,195,0.236,33,Right Handed,25
Lee Mazzilli,73,180,0.259,93,Switch Hitter,23.7
Garth Iorg,71,170,0.258,20,Right Handed,23.7
Alan Ashby,74,185,0.245,90,Switch Hitter,23.8
Bob Brenly,74,210,0.247,91,Right Handed,27
Ron Blomberg,73,195,0.293,52,Left Handed,25.7
Jim Rooker,72,195,0.201,7,Right Handed,26.4
Tim Blackwell,71,170,0.228,6,Switch Hitter,23.7
Colby Ward,74,185,0,0,Right Handed,23.8
Jerry Morales,70,155,0.259,95,Right Handed,22.2
Davey Lopes,69,170,0.263,155,Right Handed,25.1
Catfish Hunter,72,190,0.226,6,Right Handed,25.8
Mario Soto,72,174,0.132,1,Right Handed,23.6
Jimmy Wynn,70,160,0.25,291,Right Handed,23
Hank Allen,72,190,0.241,6,Right Handed,25.8
Jim Fregosi,73,190,0.265,151,Right Handed,25.1
Pepe Frias,70,159,0.24,1,Right Handed,22.8
Mike Schmidt,74,195,0.267,548,Right Handed,25
Willie Montanez,72,170,0.275,139,Left Handed,23.1
Rey Quinones,71,160,0.243,29,Right Handed,22.3
Mike Squires,71,185,0.26,6,Left Handed,25.8
Champ Summers,74,205,0.255,54,Left Handed,26.3
Chuck Porter,75,187,0,0,Right Handed,23.4
Bert Campaneris,70,160,0.259,79,Right Handed,23
Bobby Valentine,70,189,0.26,12,Right Handed,27.1
Rob Andrews,72,185,0.251,3,Right Handed,25.1
Tom Haller,76,195,0.257,134,Left Handed,23.7
Tom Dozier,74,190,0,0,Right Handed,24.4
Ed Stroud,71,180,0.237,14,Left Handed,25.1
Ron Swoboda,74,195,0.242,73,Right Handed,25
Harry Spilman,73,180,0.237,18,Left Handed,23.7
Bob Barton,72,175,0.226,9,Right Handed,23.7
Daryl Sconiers,74,185,0.265,15,Left Handed,23.8
